id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
3870e32d-5880-43a1-8978-e2e150414fad,Ágatha Moreira,1944-12-10,489.562.839-79,14782385,Nogueira,RR,Brasil,F,+55 11 6285 8349,48956283979@exemplo.com.br,2025-09-10
b4c7c732-a6cd-4239-bdef-e03650a4453a,Rebeca Fernandes,2005-06-06,147.033.143-56,97585-460,Sá Paulista,PB,Brasil,F,0800-905-4017,14703314356@exemplo.com.br,2024-02-27
21d81958-be81-437e-a68c-53e39345d790,Sra. Heloisa Pimenta,2006-11-16,224.009.560-22,80503-775,Marques,MT,Brasil,M,51 2559 8283,22400956022@exemplo.com.br,2025-02-03
20eca8c0-dab4-480f-ae38-9901cfd68729,Rodrigo Aparecida,1978-10-07,631.004.459-57,68859125,Ferreira de da Cruz,RN,Brasil,F,(021) 9699 8340,63100445957@exemplo.com.br,2025-04-28
d0188976-1a9c-4b87-8092-711728d748fe,Yan Martins,1978-03-26,888.248.292-92,32115-998,Rodrigues,PR,Brasil,M,31 1967-3119,88824829292@exemplo.com.br,2025-01-20
bed48732-74fd-4e18-ad68-95f481d009d4,Antônio Moura,1946-05-03,660.815.732-89,59293495,Machado da Praia,MS,Brasil,F,+55 51 6015 1002,66081573289@exemplo.com.br,2024-06-19
21a9b351-0547-44fa-aa7a-f3802e792fa6,Clarice Ferreira,2007-06-21,555.245.487-86,53346688,Cavalcante,MS,Brasil,F,+55 81 7661-3075,55524548786@exemplo.com.br,2024-12-11
9af815f6-4f8e-4495-8ff4-a46ea1519492,Ana Julia Correia,1981-04-04,506.286.309-07,52991627,Rezende das Pedras,AC,Brasil,M,0500-771-6991,50628630907@exemplo.com.br,2025-06-03
76cf05a2-96bc-48ea-afa0-8921a697faeb,Manuella Garcia,1989-04-07,519.267.509-37,27095-420,Cardoso das Pedras,DF,Brasil,M,71 8532 7043,51926750937@exemplo.com.br,2024-11-10
f7781ebd-4e9f-4bbc-bc23-2e5916a67170,Mariane Moreira,1988-03-17,940.760.991-96,83190371,Costela,MG,Brasil,F,+55 51 1581 4312,94076099196@exemplo.com.br,2024-09-28
